"vendor_id","vendor_address","Geohash","permitType",lastCheckup,"vendorName","vendor_id"
"NA","13215 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnvup","Mobile Food","04-20-2023","COA - GBJB'S","22225"
"NA","1516 TINNIN FORD RD, AUSTIN, TX 78741","9v6s01jx","Mobile Food","01-23-2024","COA - HALAL KITCHEN LLC","23243", 
"(415) 875-0792","6305 CAMERON RD, AUSTIN, TX 78723","9v6s2zsm","Mobile Food","10-11-2023","SABOR TECLENO","21186", 
"NA","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","01-30-2024","COA - HALAL TAZA","23231", 
"NA","13101 HAROLD GREEN RD, AUSTIN, TX 78725","9v6efxrt","Mobile Food","05-16-2024","COA - TATERQUE","23902", 
"NA","3618 CHAPMAN LN, AUSTIN, TX 78744","9v6eb5gq","Mobile Food","01-02-2024","TAQUERIA HUGO #3","23326", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","11-27-2023","COA - LOS GALANES BIRRIAS & TACOS","22639", 
"NA","9400 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s9n9n","Mobile Food","06-27-2023","COA - ANTOJITOS GABY","22496", 
"NA","2808 MANOR RD, AUSTIN, TX 78722","9v6s292e","Mobile Food","11-09-2023","COA - FLEET COFFEE #2","22621", 
"NA","1811 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hng","Mobile Food","02-13-2024","COA - SARAH'S ON THE ROAD 2","23106", 
"(512) 920-9320","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","04-18-2024","COA - TAQUERIA SIETE ESTRELLAS","23693", 
"(609) 241-4609","611 TRINITY ST, AUSTIN, TX 78701","9v6kpyhd","Mobile Food","04-18-2024","COA - SHAKO MAKO HALAL LLC","23820", 
"NA","3500 S CONGRESS AVE, AUSTIN, TX 78704","9v67zrh2","Mobile Food","05-02-2024","COA - PUPUSERIA Y TAQUERIA DON BENNY","23655", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","12-12-2023","COA - TAQUITOS MICHOACANOS","23107", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-23-2024","COA - CANNONE #4","7981", 
"NA","6711 MANCHACA RD, AUSTIN, TX 78745","9v67y6eu","Mobile Food","05-21-2024","COA - MOBILE MOON I","23885", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT NP 133","7949", 
"(512) 902-6170","5108 BALCONES WOODS DR, AUSTIN, TX 78759","9v6kzxxm","Mobile Food","06-06-2024","COA - TRAILA ALVAREZ","23328", 
"(219) 487-1911","440 E ST. ELMO ST AUSTIN, TX 78745 ","9v67zku0","Mobile Food","04-30-2024","COA - REEM'S","23837", 
"(737) 297-0621","2723 S IH 35 SVRD NB, AUSTIN, TX 78741","9v67zyck","Mobile Food","10-24-2023","CHILES TACOS AND MORE","22862", 
"NA","2433 S Pleasant Valley Rd, Austin, Texas 78741","9v6ebnv2","Mobile Food","11-07-2023","EL SUPER TACO #2","23007", 
"NA","4714 NUCKOLS CROSSING RD, AUSTIN, TX 78744","9v67zcq6","Mobile Food","09-26-2023","COA - EL PAISA","22897", 
"NA","5101 AIRPORT BLVD , AUSTIN, TX 78751","9v6s2qnn","Mobile Food","01-29-2024","COA - TAQUERIA LA CANARIA","23170", 
"NA","8319 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8tm6","Mobile Food","02-20-2024","COA - DM DELISH PLACE","23510", 
"NA","2615 E 7TH ST, AUSTIN, TX 78702","9v6s0s8r","Mobile Food","05-30-2024","COA - TAQUERIA 504-TOYLOCO TACOS","23749", 
"NA","601 W LIVE OAK ST, AUSTIN, TX 78704","9v6kp3yc","Mobile Food","09-05-2023","COA - KESSHO LLC","22814", 
"(737) 239-6048","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","08-01-2023","COA - TAQUERIA ALVINO ","858320", 
"(737) 247-1161","1112 W KOENIG LN, AUSTIN, TX 78756","9v6s817u","Mobile Food","03-26-2024","COA - TAQUERIA TORRES","23381", 
"NA","2000 S IH 35 SVRD SB, AUSTIN, TX 78704","9v6kpbs1","Mobile Food","04-13-2023","COA - EL SABOR CHAPIN POLLO CON PAPAS","22210", 
"NA","1506 S 1ST ST, AUSTIN, TX 78704","9v6kpdbc","Mobile Food","09-14-2023","COA - NOMADE","22876", 
"NA","1405 E 7TH ST, AUSTIN, TX 78702","9v6s0jky","Mobile Food","07-11-2023","COA - CHOM CHOM","22564", 
"NA","1201 E 11TH ST, AUSTIN, TX 78702","9v6s0nhy","Mobile Food","01-26-2023","COA - SWEETS TREATS & EATS","21797", 
"NA","15400 N FM 620 RD, AUSTIN, TX 78717","9v6mrvkv","Mobile Food","03-28-2024","COA - KONFUSEDESI #2","23679", 
"(512) 952-9140","2001 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01ej","Mobile Food","09-14-2023","COA - TACOS EL CHILANGO #3","22296", 
"(512) 903-6733","1130 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0y59","Mobile Food","05-09-2024","COA - LUCKY HALAL","23966", 
"NA","5301 MANOR RD, AUSTIN, TX 78723","9v6s35gx","Mobile Food","05-09-2024","COA - LA MARQUEZA","23969", 
"NA","10901 DOMAIN DR, AUSTIN, TX 78758","9v6sbjnp","Mobile Food","01-09-2024","COA - THAT BURGER #2","23316", 
"NA","2005 E OLTORF ST AUSTIN, TX 78741 ","9v6ebp2d","Mobile Food","03-21-2024","COA - DELICIAS DE OAXACA #2 Y POLLOS AL CARBON","23639", 
"(512) 554-5650","101 E 21ST ST, AUSTIN, TX 78712","9v6krbv1","Mobile Food","04-30-2024","COA - FOUR BROTHERS - E3","23929", 
"(210) 505-8559","6301 E RIVERSIDE DR, AUSTIN, TX 78741","9v6ebwnq","Mobile Food","08-24-2023","TACOS LA SABROSA","22732", 
"NA","9201 CIRCUIT OF THE AMERICAS BLVD, AUSTIN, TX 78617","9v6e6n1b","Mobile Food","03-20-2024","AUSTIN SCOOPS 2","21965", 
"NA","402 E 6TH ST, AUSTIN, TX 78701","9v6kpvux","Mobile Food","03-13-2024","COA - GYRO EXPRESSE","23289", 
"NA","1106 E 11TH ST, AUSTIN, TX 78702","9v6s0nk6","Mobile Food","01-09-2024","COA - THAILICIOUS PLUS","23320", 
"(737) 328-9814","11331 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc4g7","Mobile Food","03-12-2024","COA - HIMALAYAN NEPALESE AND INDIAN FUSION","23415", 
"NA","2505 WEBBERVILLE RD, AUSTIN, TX 78702","9v6s0mpn","Mobile Food","07-20-2023","COA - AMY'S PRETZELS","21150", 
"NA","9717 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8zuu","Mobile Food","01-09-2024","COA - ELOTES Y RASPADOS GUERRERO","23253", 
"NA","71 RAINEY ST, AUSTIN, TX 78701","9v6kpukf","Mobile Food","03-09-2024","COA - GOOD SHIT, THE","23062", 
"NA","2500 LONGVIEW ST AUSTIN, TX 78705 ","9v6kpre6","Mobile Food","11-28-2023","COA - ESMERALDA'S FOOD #2","22761", 
"NA","9708 ANDERSON MILL RD , AUSTIN, TX 78750","9v6mnwut","Mobile Food","01-06-2024","COA - CORNER TACOS","22559", 
"NA","2601 W BRAKER LN, AUSTIN, TX 78758","9v6sbk6g","Mobile Food","01-30-2024","COA - TACOS EL PARIENTE #2","23308", 
"(512) 466-0123","6511 BRUSH COUNTRY RD, AUSTIN, TX 78749","9v67vw43","Mobile Food","08-24-2023","COA - LA TRAILA #6","22738", 
"NA","105 W BRAKER LN, AUSTIN, TX 78753","9v6sc4qb","Mobile Food","10-11-2023","COA - FONDA DONA OLGA","22406", 
"NA","1914 GUADALUPE ST, AUSTIN, TX 78705","9v6krbf1","Mobile Food","10-30-2023","COA - ANDINO GELATO TRAILER","22875", 
"NA","510 W OLTORF ST, AUSTIN, TX 78704","9v6kp3q7","Mobile Food","10-12-2023","COA - REHOBOTH T&H ERITREAN ETHIO ITALIAN CUCINA ","720563", 
"NA","6607 S PLEASANT VALLEY RD, AUSTIN, TX 78744","9v67xtzn","Mobile Food","10-03-2023","LA HAWAIIANA INC #4 ","856753", 
"NA","1523 TINNIN FORD RD, AUSTIN, TX 78741","9v6s01n5","Mobile Food","05-11-2023","COA - 411 FIRST FLOOR","22405", 
"(512) 949-7478","4500 E WILLIAM CANNON DR, AUSTIN, TX 78744","9v67xwcs","Mobile Food","07-18-2023","TACOS EL HUACHE","22571", 
"NA","2307 Manor Rd , Austin, TX 78722","9v6s23h2","Mobile Food","11-30-2023","COA - SNO.CO 1","22838", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","10-31-2023","COA - PEREZ BROTHERS COMPANY LLC","21475", 
"NA","9909 FM 969 RD, AUSTIN, TX 78725","9v6s4qn6","Mobile Food","10-24-2023","COA - SPICY BOYS 6","22955", 
"NA","1805 E 7TH ST, AUSTIN, TX 78702","9v6s0m0k","Mobile Food","01-26-2024","COA - CHICHO'S TEX-MEX LLC","23058", 
"NA","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","02-13-2024","COA - TACOS REGIOS AL VAPOR DE AUSTIN LLC #6","23391", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT PP108 ","645011", 
"NA","11200 LAKELINE MALL DR, AUSTIN, TX 78613","9v6mq6fu","Mobile Food","10-19-2023","COA - AUSTIN SWEET & SOUR CANDY ","851627", 
"NA","1209 E 6TH ST, AUSTIN, TX 78702","9v6s0j7j","Mobile Food","08-17-2023","COA - LA TAQUICARDIA #3","22719", 
"NA","10701 MANCHACA RD, AUSTIN, TX 78748","9v67tg4k","Mobile Food","10-19-2023","COA - TACUTIES","23034", 
"(512) 217-2019","12430 N LAMAR BLVD, AUSTIN, TX 78753","9v6scr2w","Mobile Food","02-02-2024","COA - EL TACOTE","22999", 
"(305) 890-1932","4111 S 1ST ST, AUSTIN, TX 78745","9v67znjw","Mobile Food","03-19-2024","COA - SABOR VENEZOLANO","23638", 
"NA","7200 COOPER LN , AUSTIN, TX 78745","9v67y8s4","Mobile Food","05-09-2023","COA - GUATE-MEX TAQUERIA","22292", 
"(512) 596-8778","2512 E 6TH ST, AUSTIN, TX 78702","9v6s0krj","Mobile Food","03-14-2024","COA - TAQUERIA JOHNNY TACOS","23624", 
"(917) 757-7341","439 INDUSTRIAL BLVD, AUSTIN, TX 78745","9v67zkuz","Mobile Food","12-05-2023","COA - PATTY PALACE","22926", 
"NA","7101 ED BLUESTEIN BLVD AUSTIN, TX 78723 ","9v6s3whz","Mobile Food","05-21-2024","COA - TACOS LAGUNA #2","23895", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","06-02-2023","CORNDOG COMPANY OF TEXAS, LLC","22243", 
"(512) 743-9016","2406 S US 183 HWY SB, AUSTIN, TX 78744","9v6d324j","Mobile Food","12-05-2023","COA - ELOTES MEXICANOS","22667", 
"NA","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","01-18-2024","WAT ZAB THAI FOOD","23060", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT IRP4","7897", 
"NA","2324 E CESAR CHAVEZ ST UNIT A AUSTIN, TX 78702 ","9v6s07gb","Mobile Food","03-19-2024","COA - GHOUL COFFEE COMPANY","22931", 
"NA","12030 N LAMAR BLVD, AUSTIN, TX 78753","9v6schy5","Mobile Food","05-09-2024","COA - TIPICOS VILLALTA EL SALVADOR","23720", 
"(512) 998-7404","8012 MESA DR, AUSTIN, TX 78731","9v6kz2y3","Mobile Food","02-20-2024","COA - SISTERS SNOSHACK","23408", 
"(424) 235-8297","75 1/2 RAINEY ST AUSTIN, TX 78701 ","9v6kpukv","Mobile Food","03-12-2024","COA - LITTLE LUCY'S #4","23619", 
"(512) 999-2021","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","03-09-2024","COA - HAVE A TACO","22062", 
"NA","641 TILLERY ST AUSTIN, TX 78702 ","9v6s0sm0","Mobile Food","03-26-2024","COA - FLITCH COFFEE {23380) ","646334", 
"(512) 791-2161","6606 WILLAMETTE DR, AUSTIN, TX 78723","9v6s3q9j","Mobile Food","01-03-2023","COA - EAST AUSTIN COFFEE","21775", 
"NA","3220 MANOR RD, AUSTIN, TX 78723","9v6s29we","Mobile Food","07-25-2023","COA - SNOW SHOP","23143", 
"NA","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","05-12-2023","CHIANG MAI FOOD TRAILER","22088", 
"NA","2220 BARTON SPRINGS RD, AUSTIN, TX 78746","9v6kpnkb","Mobile Food","05-14-2024","COA - PRETTY CUTE COFFEE","23905", 
"NA","2105 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp9e1","Mobile Food","07-28-2023","COA - TACO MEX ","965698", 
"NA","2300 EB BEN WHITE BLVD , AUSTIN, TX 78741","9v6ebkht","Mobile Food","08-10-2023","COA - LA HAWAIIANA INC E2","7939", 
"NA","1620 E RIVERSIDE DR AUSTIN, TX 78741 ","9v6s01gp","Mobile Food","03-08-2024","COA - HEEL OF THE BOOT, THE","22393", 
"(512) 573-0766","5700 W SLAUGHTER LN, AUSTIN, TX 78749","9v67ufnc","Mobile Food","04-02-2024","COA - SWEET CAROLINE'S SNOW SHACK #8","23761", 
"(737) 600-9812","717 RED RIVER ST, AUSTIN, TX 78701","9v6kpyns","Mobile Food","03-09-2024","COA - GYRO EXPRESSE 2","23407", 
"(832) 292-8250","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","03-15-2024","COA -SIMPLY WOW FOOD #1","23549", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","11-07-2023","COA - INDO PAK STREET CUISINE LLC","23079", 
"(512) 962-5656","10701 MANCHACA RD, AUSTIN, TX 78748","9v67tg4k","Mobile Food","08-03-2023","COA - FATBOYZ HIBACHI LLC","23167", 
"NA","5604 S CONGRESS AVE, AUSTIN, TX 78745","9v67z4d6","Mobile Food","08-29-2023","COA - SABOR TAPATIO #2","23196", 
"NA","8110 SPRINGDALE RD, AUSTIN, TX 78724","9v6s98xv","Mobile Food","02-08-2024","COA - PUEBLO VIEJO MEXICAN FOOD #8","23529", 
"(512) 975-3240","6701 Straw Flower Dr 78738","9v6kkq3k","Mobile Food","06-19-2024","POWERHOUSE strEATS","111111", 
"(512) 970-2171","6201 S CONGRESS AVE, AUSTIN, TX 78745","9v67z19e","Mobile Food","05-28-2024","COA - TACOS GARCILITA #2","23851", 
"(512) 662-7208","1402 E 38TH HALF ST AUSTIN, TX 78722 ","9v6s26r4","Mobile Food","11-06-2023","COA - EL MANA EVENTS","21606", 
"NA","717 E 7TH ST, AUSTIN, TX 78701","9v6kpvze","Mobile Food","03-14-2024","COA - ALSAADI HALAL","22877", 
"(512) 822-6910","15300 FM 969 RD, AUSTIN, TX 78724","9v6s5dej","Mobile Food","02-09-2023","TC - TACOS JAIMES ","959863", 
"NA","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","08-01-2023","COA - TASTE OF INDIA #2","23213", 
"(210) 723-7578","325 E 6TH ST, AUSTIN, TX 78701","9v6kpvuj","Mobile Food","09-07-2023","COA - TACO WEY","23184", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-23-2024","COA - CANNONE #2","23505", 
"NA","6305 CAMERON RD, AUSTIN, TX 78723","9v6s2zsm","Mobile Food","10-11-2023","ELOTES FANNY #2","22699", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","08-15-2023","COA - LA SIRENA TAQUERIA #2","22684", 
"NA","9530 E US 290 HWY WB AUSTIN, TX 78724 ","9v6sd3te","Mobile Food","04-11-2024","COA - LILI'S TACOS","23799", 
"(210) 584-2721","9518 ANDERSON MILL RD, AUSTIN, TX 78729","9v6mnz0n","Mobile Food","03-09-2024","COA - WANTED KITCHEN","22766", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","10-25-2023","COA - WONKY BLEND","22779", 
"NA","1200 KRAMER LN, AUSTIN, TX 78758","9v6sbgj4","Mobile Food","02-27-2024","COA - EL SAZON DE LA ABUELA","23400", 
"(512) 680-2943","1305 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0hd2","Mobile Food","11-06-2023","COA - LA ESPERANZA","22880", 
"NA","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT CP118","7825", 
"NA","2118 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp96w","Mobile Food","11-27-2023","COA - ZIKI KITCHEN","Z1", 
"(512) 888-3143","9220 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6s9n2r","Mobile Food","03-07-2024","COA - COMIDA HONDURENA EL BUEN SABOR #2","23604", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT SC137","8035", 
"NA","820 W HOWARD LN, AUSTIN, TX 78660","9v6t1d7t","Mobile Food","12-05-2023","COA - GOOD NEWS CONCESSION KITCHEN","22665", 
"NA",", AUSTIN, TX ","9v6kpvcw","Mobile Food","04-04-2024","COA - LA QUETZALTECA","23786", 
"NA","102-1/2 W 3RD ST, AUSTIN, TX 78701","9v6kpv8t","Mobile Food","03-13-2024","COA - ZIKI KITCHEN Z4","23004", 
"NA","11444 MANCHACA RD, AUSTIN, TX 78748","9v67t9r8","Mobile Food","10-03-2023","COA - LAS ABUELAS","21381", 
"NA","1919 S PLEASANT VALLEY RD, AUSTIN, TX 78741","9v6ebrby","Mobile Food","04-09-2024","COA - EVEREST KITCHEN","23807", 
"(512) 695-0269","2604 GUADALUPE ST, AUSTIN, TX 78705","9v6krf6f","Mobile Food","10-31-2023","COA - ROPPOLO'S PIZZERIA TROLLEY #2","23082", 
"NA","5300 BURNET RD, AUSTIN, TX 78756","9v6kxbey","Mobile Food","02-27-2024","COA - TRES COMPADRES","23545", 
"(512) 658-4191","2500 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07t9","Mobile Food","06-04-2024","COA - AUSTIN STAR HALAL FOOD LLC","23953", 
"NA","7107 E RIVERSIDE DR, AUSTIN, TX 78741","9v6ebvs4","Mobile Food","01-18-2024","COA - LI'L NONNA'S LLC","23248", 
"(512) 704-3408","6400 S CONGRESS AVE, AUSTIN, TX 78745","9v67z10m","Mobile Food","09-28-2023","SEA KING, THE","22892", 
"NA","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","11-17-2023","COA - GUATE MAYA CUISINE","21530", 
"NA","1747 RUTLAND DR, AUSTIN, TX 78758","9v6sbd12","Mobile Food","07-13-2023","LA VIROLENA #2","22606", 
"(512) 618-5220","1401 E 7TH ST, AUSTIN, TX 78702","9v6s0jkw","Mobile Food","03-12-2024","COA - GRANNYS TACOS #2","23597", 
"NA","620 W 29TH ST, AUSTIN, TX 78705","9v6krg1r","Mobile Food","12-21-2023","COA - QUEEN'S TACOS","22133", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","04-11-2024","COA - EVEREST FOOD TRUCK #10","23798", 
"NA","10420 METRIC BLVD UNIT 150 AUSTIN, TX 78758 ","9v6sb7ns","Mobile Food","10-20-2023","COA - DAYGOS SAN DIEGO TACO SHOP","21623", 
"NA","5500 S CONGRESS AVE, AUSTIN, TX 78745","9v67z4fe","Mobile Food","03-26-2024","COA - BUB'S ATX","23375", 
"(512) 769-5746","13525 DESSAU RD, AUSTIN, TX 78660","9v6sfpp0","Mobile Food","09-12-2023","COA - VIVA HIDALGO","22812", 
"NA",", Austin, TX ","9v6kpvcw","Mobile Food","03-14-2024","COA - YUMMY CHOP TEXAS LLC","23616", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","10-25-2023","COA - STOUTHAUS COFFEE TRAILER 1 LLC","22978", 
"NA","2200 STRATFORD DR, AUSTIN, TX 78746","9v6kpjvz","Mobile Food","04-11-2024","COA - LADY BEE'S","23797", 
"NA","1133 E 11TH ST, AUSTIN, TX 78702","9v6s0nhx","Mobile Food","12-14-2023","COA - DELRAY CAFE","23126", 
"NA","6704 LOYOLA LN AUSTIN, TX 78724 ","9v6s65bs","Mobile Food","05-20-2024","COA - TAQUERIA PELONCITOS","23662", 
"NA","717 E 7TH ST, AUSTIN, TX 78701","9v6kpvze","Mobile Food","03-19-2024","COA - NEW ASIAN BUFFET LLC","23635", 
"(512) 888-5275","105 W BRAKER LN, AUSTIN, TX 78753","9v6sc4qb","Mobile Food","05-04-2023","COA - HII 5 FIVE LLC","21903", 
"(512) 618-3068","10901 DOMAIN DR, AUSTIN, TX 78758","9v6sbjnp","Mobile Food","03-26-2024","COA - PANITAS","23373", 
"(512) 317-6111","12430 N LAMAR BLVD, AUSTIN, TX 78753","9v6scr2w","Mobile Food","08-08-2023","COA - AUSTIN TRAILER #2","23177", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","10-10-2023","COA - CACHI FACTORY","22989", 
"NA","1620 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01gp","Mobile Food","09-28-2023","COA - NOBLE JOE COFFEE COMPANY LLC","22854", 
"NA","73 RAINEY ST, AUSTIN, TX 78701","9v6kpukg","Mobile Food","04-04-2023","COA - TRU BAR-B-CUE","21818", 
"(512) 599-0603","9341 W SH 71, AUSTIN, TX 78736","9v6khh9d","Mobile Food","10-24-2023","COA - EL REY DEL TACO #2","23031", 
"(512) 939-2308","2731 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07rk","Mobile Food","08-17-2023","COA - TACOS GUERRERO","22718", 
